species,tag_id,fish_id,length_cm,location,tag_date,recapture_date,protocol,min_delay,max_delay,sensor,sensor_slope,sensor_intercept,sensor_units,comments
Seriola dumerili,5046,SERDUM-12,75,Medes Islands,2021-11-11,,OPs,130,230,P,0.3009,-1.2035,m,""
Dicentrarchus labrax,8939,DICLAB-07,43,Medes Islands,2021-11-22,,OPi,80,160,"",,,"",""
Sparus aurata,9470,SPAAUR-09,40,Medes Islands,2021-12-15,,OPi,130,230,"",,,"",""
Torpedo marmorata,9471,TORMAR-06,51,Medes Islands,2021-12-27,,OPi,130,230,"",,,"",""
Seriola dumerili,4984,SERDUM-13,79,Medes Islands,2022-01-02,,OPs,60,180,P,0.3032,-1.2129,m,""
Dicentrarchus labrax,9472,DICLAB-08,32,Medes Islands,2022-01-03,,OPi,130,230,"",,,"",""
Seriola dumerili,4991,SERDUM-14,74,Medes Islands,2022-01-03,,OPs,60,180,P,0.3032,-1.2129,m,""
Sparus aurata,4982,SPAAUR-10,47,Medes Islands,2022-01-03,,OPs,60,180,P,0.3032,-1.2129,m,""
Sparus aurata,8964,SPAAUR-11,40,Medes Islands,2022-01-03,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,8958,DICLAB-09,35,Medes Islands,2022-01-16,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,8963,DICLAB-10,29,Medes Islands,2022-01-16,,OPi,80,160,"",,,"",""
Sparus aurata,8960,SPAAUR-12,45,Medes Islands,2022-01-16,,OPi,80,160,"",,,"",""
Sparus aurata,8942,SPAAUR-13,45,Medes Islands,2022-01-20,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,8938,DICLAB-11,50,Medes Islands,2022-01-21,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,8954,DICLAB-12,33,Medes Islands,2022-01-28,,OPi,80,160,"",,,"",""
Sparus aurata,8989,SPAAUR-14,43,Medes Islands,2022-01-28,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,8949,DICLAB-13,35,Medes Islands,2022-02-04,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,8951,DICLAB-14,40,Medes Islands,2022-02-04,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,8956,DICLAB-15,35,Medes Islands,2022-02-04,,OPi,80,160,"",,,"",""
Dicentrarchus labrax,4977,DICLAB-16,47,Medes Islands,2022-04-01,,OPs,60,180,P,0.3032,-1.2129,m,""
Epinephelus marginatus,5037,EPIMAR-11,84,Medes Islands,2022-06-02,,Ops,130,230,P,0.3009,-1.2035,m,""
Dentex dentex,3330,DENDEN-01,39,Medes Islands,2022-07-29,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3331,DENDEN-01,39,Medes Islands,2022-07-29,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3334,DENDEN-02,44,Medes Islands,2022-07-29,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3335,DENDEN-02,44,Medes Islands,2022-07-29,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3336,DENDEN-03,56,Medes Islands,2022-07-29,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3337,DENDEN-03,56,Medes Islands,2022-07-29,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3338,DENDEN-04,52,Medes Islands,2022-07-29,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3339,DENDEN-04,52,Medes Islands,2022-07-29,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3332,DENDEN-05,66,Medes Islands,2022-07-31,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3333,DENDEN-05,66,Medes Islands,2022-07-31,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3320,DENDEN-06,58,Medes Islands,2022-08-02,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3321,DENDEN-06,58,Medes Islands,2022-08-02,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3324,DENDEN-07,63,Medes Islands,2022-08-02,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3325,DENDEN-07,63,Medes Islands,2022-08-02,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3326,DENDEN-08,64,Medes Islands,2022-08-02,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3327,DENDEN-08,64,Medes Islands,2022-08-02,,OPs,60,120,P,0.3032,-1.2129,m,""
Dentex dentex,3328,DENDEN-09,55,Medes Islands,2022-08-02,,OPs,60,120,A,0.01922,0,m/s2,""
Dentex dentex,3329,DENDEN-09,55,Medes Islands,2022-08-02,,OPs,60,120,P,0.3032,-1.2129,m,""
